activity_segment,exposure_segment,performance_segment,accounts,total_trades,gross_pnl,net_pnl,avg_win_rate,trades_per_day,exposure_proxy
Frequent traders,High exposure proxy,Consistent/top winners,6,83376,5323999.35105,5208642.360818661,0.8058990665113129,282.5366360565495,87.66322288695889
Infrequent traders,High exposure proxy,Consistent/top winners,1,14733,2143382.597689,2127387.27943718,0.7997419813230227,57.55078125,26.736175845885942
Infrequent traders,Low exposure proxy,Consistent/top winners,3,10251,1128529.246216,1086767.76083384,0.91939977045991,29.82380210651239,8.642787175156432
Infrequent traders,Low exposure proxy,Middle performers,5,13679,648084.15019,642741.5745162966,0.9055604059576687,36.70595307842533,13.47781357087408
Frequent traders,Low exposure proxy,Consistent/top winners,1,9893,379095.406711,376500.14756932,0.8804709200721843,67.76027397260275,16.30823569639135
Infrequent traders,High exposure proxy,Middle performers,2,3058,293365.546125,288402.50963606004,0.608689630575473,25.34409035901573,93.40069230634003
Frequent traders,High exposure proxy,Middle performers,2,18657,232881.81738999998,227771.9031576358,0.9203935156039325,206.69184027777777,60.451395386625556
Frequent traders,Low exposure proxy,Middle performers,1,13311,132464.814554,130246.4471875491,0.8834986162967678,82.16666666666667,11.19397081296777
Infrequent traders,Low exposure proxy,Low/negative performers,3,3058,87806.30516300001,84098.074005123,0.8347889093895824,22.06650670604159,8.83015760878158
Frequent traders,Low exposure proxy,Low/negative performers,3,20146,73274.371359,67242.95423450001,0.8660965364059777,74.72622663027461,5.116947952234055
Frequent traders,High exposure proxy,Low/negative performers,3,15927,-62.369982999996864,-40716.36443652999,0.7870513557720407,198.5484126984127,45.071005111364954
Infrequent traders,High exposure proxy,Low/negative performers,2,5135,-145862.293028,-147983.42408936642,0.8251562031157436,38.3554347826087,82.19923394396193
