Account,active_days,total_trades,total_realized_trades,total_size_usd,avg_trade_size_usd,gross_pnl,net_pnl,avg_win_rate,exposure_proxy,trades_per_day,pnl_per_trade,activity_segment,exposure_segment,performance_segment
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,256,14733,6279,56543565.23,4495.49655852293,2143382.597689,2127387.27943718,0.7997419813230227,26.736175845885942,57.55078125,145.48174829898866,Infrequent traders,High exposure proxy,Consistent/top winners
0x083384f897ee0f19899168e3b1bec365f52a9012,24,3818,1732,61697263.970000006,33569.102223713766,1600229.819979,1592824.507675,0.7706911497254099,100.0,159.08333333333334,419.1277684596647,Frequent traders,High exposure proxy,Consistent/top winners
0xbaaaf6571ab7d571043ff1e313a9609a10637864,28,21192,9997,68036340.24,4528.364242699367,940163.80622,931567.100553781,0.9498331633731827,100.0,756.8571428571429,44.364090516232544,Frequent traders,High exposure proxy,Consistent/top winners
0x513b8629fe877bb581bf244e326a047b249c4ff1,39,12236,5482,420876556.36,27603.84521556422,840422.555216,763997.91232431,0.8668135348666396,100.0,313.7435897435897,68.68441935403726,Frequent traders,High exposure proxy,Consistent/top winners
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,131,40184,22551,74107810.44,1760.5388452412292,836080.553077,822727.65336805,0.8055407335868281,45.38310686897475,306.7480916030534,20.806304824731235,Frequent traders,High exposure proxy,Consistent/top winners
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,58,4356,2233,39572949.25,16024.724760769133,677747.050643,669721.05824881,0.9126012876012876,40.23253940059428,75.10344827586206,155.58931373806246,Frequent traders,High exposure proxy,Consistent/top winners
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,19,1590,737,11474500.92,9367.295108536868,429355.565915,427804.1286487099,0.5299145299145299,75.32644577391778,83.6842105263158,270.0349471163522,Frequent traders,High exposure proxy,Consistent/top winners
0x430f09841d65beb3f27765503d0f850b8bce7713,28,1237,599,2966109.22,2525.945975144083,416541.872341,415794.86541,1.0,6.245061287012643,44.17857142857143,336.735547567502,Infrequent traders,Low exposure proxy,Consistent/top winners
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,66,1430,564,3051144.33,4840.92212840505,403011.504159,402721.49311084,0.7983957219251336,23.369440245874173,21.666666666666668,281.8262266846154,Infrequent traders,Low exposure proxy,Consistent/top winners
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,146,9893,8660,25729497.24,3354.2092903010684,379095.406711,376500.14756932,0.8804709200721843,16.30823569639135,67.76027397260275,38.3195599627009,Frequent traders,Low exposure proxy,Consistent/top winners
